date,balance,MarketID,ProductID,CostCenterID,BusinessUnitID,ClientAccountID,GLAccountID
2015-11-28,6560,M4,P2,CC19,BU18,CA0,GL8
2015-11-28,2092,M0,P17,CC8,BU13,CA1,GL17
2015-11-28,4958,M14,P12,CC9,BU0,CA2,GL8
2015-11-28,5639,M14,P11,CC12,BU6,CA3,GL13
2015-11-28,3305,M6,P1,CC6,BU2,CA4,GL14
2015-11-28,4275,M0,P19,CC15,BU0,CA5,GL10
2015-11-28,498,M14,P13,CC1,BU12,CA6,GL6
2015-11-28,4852,M6,P7,CC2,BU0,CA7,GL3
2015-11-28,5681,M8,P17,CC6,BU19,CA8,GL0
2015-11-28,8193,M1,P7,CC11,BU9,CA9,GL19
2015-11-28,2315,M2,P15,CC19,BU1,CA10,GL7
2015-11-28,9953,M16,P1,CC12,BU1,CA11,GL13
2015-11-28,4425,M1,P9,CC15,BU16,CA12,GL12
2015-11-28,1900,M17,P1,CC11,BU18,CA13,GL11
2015-11-28,6535,M7,P16,CC17,BU12,CA14,GL14
2015-11-28,8326,M6,P2,CC11,BU14,CA15,GL17
2015-11-28,4542,M1,P12,CC15,BU15,CA16,GL17
2015-11-28,9155,M3,P7,CC12,BU19,CA17,GL1
2015-11-28,9840,M5,P14,CC0,BU8,CA18,GL6
2015-11-28,7245,M12,P19,CC16,BU12,CA19,GL15
2015-11-28,7004,M10,P13,CC19,BU4,CA20,GL5
2015-11-28,3000,M18,P19,CC16,BU17,CA21,GL17
2015-11-28,9420,M8,P17,CC9,BU17,CA22,GL6
2015-11-28,2279,M7,P16,CC5,BU14,CA23,GL8
2015-11-28,8806,M1,P18,CC13,BU15,CA24,GL14
2015-11-28,2482,M16,P6,CC3,BU13,CA25,GL1
2015-11-28,8735,M18,P16,CC7,BU0,CA26,GL7
2015-11-28,384,M7,P19,CC10,BU13,CA27,GL3
2015-11-28,6585,M12,P19,CC11,BU13,CA28,GL11
2015-11-28,7628,M8,P17,CC6,BU10,CA29,GL10
2015-11-28,9673,M0,P17,CC18,BU3,CA30,GL18
2015-11-28,2876,M5,P16,CC6,BU12,CA31,GL17
2015-11-28,3145,M10,P7,CC8,BU19,CA32,GL19
2015-11-28,3906,M2,P12,CC9,BU4,CA33,GL19
2015-11-28,5507,M16,P6,CC13,BU16,CA34,GL6
2015-11-28,1472,M4,P16,CC2,BU9,CA35,GL6
2015-11-28,8707,M17,P4,CC17,BU17,CA36,GL8
2015-11-28,4914,M5,P7,CC2,BU3,CA37,GL2
2015-11-28,8537,M19,P10,CC3,BU17,CA38,GL3
2015-11-28,5079,M3,P5,CC1,BU8,CA39,GL6
2015-11-28,8969,M0,P3,CC7,BU7,CA40,GL12
2015-11-28,6648,M19,P17,CC17,BU4,CA41,GL12
2015-11-28,575,M19,P10,CC15,BU8,CA42,GL9
2015-11-28,4299,M15,P14,CC10,BU1,CA43,GL2
2015-11-28,852,M17,P10,CC4,BU4,CA44,GL18
2015-11-28,4049,M9,P2,CC3,BU1,CA45,GL7
2015-11-28,5798,M0,P14,CC3,BU7,CA46,GL15
2015-11-28,220,M16,P12,CC2,BU2,CA47,GL12
2015-11-28,1972,M18,P10,CC13,BU8,CA48,GL6
2015-11-28,3528,M17,P12,CC15,BU14,CA49,GL3
2015-11-28,9066,M14,P14,CC8,BU6,CA50,GL12
2015-11-28,8590,M4,P4,CC7,BU0,CA51,GL6
2015-11-28,7495,M11,P2,CC11,BU5,CA52,GL10
2015-11-28,9084,M9,P11,CC15,BU7,CA53,GL19
2015-11-28,8709,M3,P18,CC11,BU8,CA54,GL8
2015-11-28,1109,M8,P11,CC19,BU18,CA55,GL17
2015-11-28,5524,M10,P19,CC12,BU11,CA56,GL18
2015-11-28,6389,M14,P4,CC13,BU3,CA57,GL7
2015-11-28,6189,M6,P5,CC19,BU12,CA58,GL12
2015-11-28,5349,M15,P17,CC17,BU8,CA59,GL2
2015-11-28,6243,M17,P16,CC16,BU2,CA60,GL13
2015-11-28,2732,M17,P5,CC18,BU5,CA61,GL17
2015-11-28,8482,M2,P3,CC12,BU2,CA62,GL13
2015-11-28,162,M1,P1,CC17,BU7,CA63,GL14
2015-11-28,2302,M1,P7,CC18,BU17,CA64,GL0
2015-11-28,2284,M15,P9,CC19,BU4,CA65,GL3
2015-11-28,8068,M19,P18,CC3,BU10,CA66,GL6
2015-11-28,6773,M13,P8,CC10,BU3,CA67,GL4
2015-11-28,8627,M9,P13,CC4,BU1,CA68,GL14
2015-11-28,6099,M9,P1,CC4,BU7,CA69,GL2
2015-11-28,3868,M5,P1,CC8,BU16,CA70,GL7
2015-11-28,3266,M6,P15,CC8,BU18,CA71,GL13
2015-11-28,7662,M9,P7,CC8,BU17,CA72,GL13
2015-11-28,819,M11,P12,CC5,BU7,CA73,GL18
2015-11-28,3156,M14,P6,CC5,BU1,CA74,GL0
2015-11-28,7023,M18,P3,CC4,BU14,CA75,GL12
2015-11-28,8850,M7,P10,CC6,BU6,CA76,GL18
2015-11-28,9918,M2,P2,CC12,BU7,CA77,GL2
2015-11-28,2591,M4,P9,CC13,BU3,CA78,GL11
2015-11-28,8120,M14,P15,CC14,BU8,CA79,GL8
2015-11-28,1239,M9,P16,CC19,BU14,CA80,GL1
2015-11-28,1427,M8,P18,CC11,BU19,CA81,GL16
2015-11-28,2230,M3,P16,CC13,BU19,CA82,GL16
2015-11-28,8294,M16,P18,CC7,BU14,CA83,GL15
2015-11-28,497,M13,P15,CC16,BU17,CA84,GL5
2015-11-28,2622,M15,P4,CC14,BU11,CA85,GL16
2015-11-28,1127,M17,P4,CC4,BU15,CA86,GL9
2015-11-28,7163,M4,P11,CC14,BU15,CA87,GL0
2015-11-28,4424,M18,P4,CC5,BU7,CA88,GL5
2015-11-28,5129,M4,P12,CC5,BU4,CA89,GL12
2015-11-28,321,M6,P6,CC17,BU0,CA90,GL16
2015-11-28,323,M15,P8,CC10,BU13,CA91,GL17
2015-11-28,7044,M11,P17,CC13,BU0,CA92,GL18
2015-11-28,444,M17,P7,CC14,BU12,CA93,GL15
2015-11-28,1526,M4,P5,CC2,BU13,CA94,GL2
2015-11-28,7413,M10,P19,CC9,BU13,CA95,GL9
2015-11-28,8133,M6,P17,CC12,BU9,CA96,GL19
2015-11-28,7839,M3,P0,CC18,BU17,CA97,GL19
2015-11-28,787,M8,P17,CC8,BU8,CA98,GL0
2015-11-28,9833,M12,P2,CC11,BU12,CA99,GL8
2015-11-28,9879,M3,P15,CC3,BU3,CA100,GL8
2015-11-28,6685,M11,P14,CC18,BU18,CA101,GL19
2015-11-28,8361,M10,P1,CC1,BU7,CA102,GL5
2015-11-28,723,M17,P18,CC2,BU4,CA103,GL10
2015-11-28,40,M11,P19,CC0,BU12,CA104,GL17
2015-11-28,2655,M0,P13,CC14,BU2,CA105,GL18
2015-11-28,5194,M3,P13,CC0,BU16,CA106,GL3
2015-11-28,8128,M18,P10,CC13,BU13,CA107,GL10
2015-11-28,145,M19,P14,CC9,BU5,CA108,GL10
2015-11-28,9483,M12,P8,CC15,BU18,CA109,GL15
2015-11-28,9848,M12,P15,CC5,BU17,CA110,GL1
2015-11-28,5719,M12,P4,CC4,BU19,CA111,GL14
2015-11-28,8864,M19,P8,CC16,BU9,CA112,GL1
